event_id,event_date,decision_type,rate_change_bp,policy_tone,target_rate_lower,target_rate_upper,source
E20220126,2022-01-26,hold,0,hold,0.00,0.25,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220126a.htm
E20220316,2022-03-16,hike,25,tightening,0.25,0.50,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220316a.htm
E20220504,2022-05-04,hike,50,tightening,0.75,1.00,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220504a.htm
E20220615,2022-06-15,hike,75,tightening,1.50,1.75,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220615a.htm
E20220727,2022-07-27,hike,75,tightening,2.25,2.50,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220727a.htm
E20220921,2022-09-21,hike,75,tightening,3.00,3.25,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220921a.htm
E20221102,2022-11-02,hike,75,tightening,3.75,4.00,https://www.federalreserve.gov/newsevents/pressreleases/monetary20221102a.htm
E20221214,2022-12-14,hike,50,tightening,4.25,4.50,https://www.federalreserve.gov/newsevents/pressreleases/monetary20221214a.htm
E20230201,2023-02-01,hike,25,tightening,4.50,4.75,https://www.federalreserve.gov/newsevents/pressreleases/monetary20230201a.htm
E20230322,2023-03-22,hike,25,tightening,4.75,5.00,https://www.federalreserve.gov/newsevents/pressreleases/monetary20230322a.htm
E20230503,2023-05-03,hike,25,tightening,5.00,5.25,https://www.federalreserve.gov/newsevents/pressreleases/monetary20230503a.htm
E20230614,2023-06-14,hold,0,hold,5.00,5.25,https://www.federalreserve.gov/newsevents/pressreleases/monetary20230614a.htm
E20230726,2023-07-26,hike,25,tightening,5.25,5.50,https://www.federalreserve.gov/newsevents/pressreleases/monetary20230726a.htm
E20230920,2023-09-20,hold,0,hold,5.25,5.50,https://www.federalreserve.gov/newsevents/pressreleases/monetary20230920a.htm
E20231101,2023-11-01,hold,0,hold,5.25,5.50,https://www.federalreserve.gov/newsevents/pressreleases/monetary20231101a.htm
E20231213,2023-12-13,hold,0,hold,5.25,5.50,https://www.federalreserve.gov/newsevents/pressreleases/monetary20231213a.htm
E20240131,2024-01-31,hold,0,hold,5.25,5.50,https://www.federalreserve.gov/newsevents/pressreleases/monetary20240131a.htm
E20240320,2024-03-20,hold,0,hold,5.25,5.50,https://www.federalreserve.gov/newsevents/pressreleases/monetary20240320a.htm
E20240501,2024-05-01,hold,0,hold,5.25,5.50,https://www.federalreserve.gov/newsevents/pressreleases/monetary20240501a.htm
E20240612,2024-06-12,hold,0,hold,5.25,5.50,https://www.federalreserve.gov/newsevents/pressreleases/monetary20240612a.htm
E20240731,2024-07-31,hold,0,hold,5.25,5.50,https://www.federalreserve.gov/newsevents/pressreleases/monetary20240731a.htm
E20240918,2024-09-18,cut,-50,easing,4.75,5.00,https://www.federalreserve.gov/newsevents/pressreleases/monetary20240918a.htm
E20241107,2024-11-07,cut,-25,easing,4.50,4.75,https://www.federalreserve.gov/newsevents/pressreleases/monetary20241107a.htm
E20241218,2024-12-18,cut,-25,easing,4.25,4.50,https://www.federalreserve.gov/newsevents/pressreleases/monetary20241218a.htm
